geoid,name,Total Population,White_pct,Black/AfA_pct,AIAN Alone_pct,Asian_pct,NHOPI alone_pct,Some Other Race_pct,Two or More Race_pct,Majority
14000US51760070602,"Census Tract 706.02, Richmond, VA",1855,16,62.5,0,0,0,5.3,16.2,Black
14000US51760060900,"Census Tract 609, Richmond, VA",1703,14.8,28.4,10.6,2.9,0,31.5,11.9,Black
14000US51760071004,"Census Tract 710.04, Richmond, VA",2191,13.9,75.3,0,5.4,0,4.5,0.9,Black
14000US51760010800,"Census Tract 108, Richmond, VA",4879,11.4,80,0,2,0,0.3,6.2,Black
14000US51760070601,"Census Tract 706.01, Richmond, VA",6872,10.1,36.1,1.1,0.4,0,31.1,21.2,Black
14000US51760070700,"Census Tract 707, Richmond, VA",7708,10.1,52.9,0,0,0,21.9,15.1,Black
14000US51760070902,"Census Tract 709.02, Richmond, VA",2256,9,88,0,0.2,0,0,2.8,Black
14000US51760060800,"Census Tract 608, Richmond, VA",3608,8.7,60.1,1.7,1.7,0.1,12.9,14.9,Black
14000US51760020400,"Census Tract 204, Richmond, VA",3675,8.2,84.2,0,1.2,0.6,1.5,4.4,Black
14000US51760060700,"Census Tract 607, Richmond, VA",5433,7.7,79.5,0,0,0,1.1,11.7,Black
14000US51760070803,"Census Tract 708.03, Richmond, VA",4930,6.9,64.4,0.6,0,0,23.7,4.3,Black
14000US51760010300,"Census Tract 103, Richmond, VA",1767,6.2,88.6,0,0,0,1.4,3.9,Black
14000US51760020100,"Census Tract 201, Richmond, VA",1606,5.7,86.9,0.1,2.2,0,1.1,3.9,Black
14000US51760030100,"Census Tract 301, Richmond, VA",2623,4.2,91.8,0,0,0,1.4,2.6,Black
14000US51760020200,"Census Tract 202, Richmond, VA",3487,2.3,92,1.1,0.3,0,0.9,3.4,Black
